物件名,立地,家賃,敷金,礼金,階数,間取り,リンク
セントラルパレス北新宿,ＪＲ総武線/東中野駅 歩8分・東京メトロ東西線/落合駅 歩12分・ＪＲ総武線/大久保駅 歩10分,100000,100000,100000,3階,2DK,https://suumo.jp/chintai/jnc_000071604763/?bc=100269619744
コーポ松岡,ＪＲ山手線/代々木駅 歩7分・東京メトロ副都心線/北参道駅 歩5分・ＪＲ中央線/千駄ケ谷駅 歩6分,110000,110000,110000,3階,2K,https://suumo.jp/chintai/jnc_000013443517/?bc=100261212259
ＪＲ山手線 代々木駅 3階建 築43年,ＪＲ山手線/代々木駅 歩7分・東京メトロ副都心線/北参道駅 歩5分・ＪＲ中央線/千駄ケ谷駅 歩6分,110000,110000,110000,3階,2K,https://suumo.jp/chintai/jnc_000013443520/?bc=100263999981
光慶ビル,ＪＲ中央線/東中野駅 歩9分・ＪＲ中央線/大久保駅 歩9分・東京メトロ東西線/落合駅 歩12分,85000,82000,82000,2階,2K,https://suumo.jp/chintai/jnc_000070650900/?bc=100263482561
Kビル,ＪＲ総武線/大久保駅 歩10分・東京メトロ東西線/落合駅 歩13分・都営大江戸線/東中野駅 歩8分,100000,98000,98000,5階,2DK,https://suumo.jp/chintai/jnc_000071304822/?bc=100266949505
中野区中央1丁目,ＪＲ中央線/大久保駅 歩10分・東京メトロ東西線/落合駅 歩13分・都営大江戸線/東中野駅 歩8分,100000,98000,98000,5階,2DK,https://suumo.jp/chintai/jnc_000070100345/?bc=100260323127
メゾン隆信,小田急線/参宮橋駅 歩5分・ＪＲ山手線/代々木駅 歩9分・ＪＲ山手線/新宿駅 歩15分,87000,87000,87000,2階,2K,https://suumo.jp/chintai/jnc_000071527939/?bc=100212931432
ＪＲ中央線 東中野駅 6階建 築44年,ＪＲ中央線/東中野駅 歩5分・東京メトロ丸ノ内線/中野坂上駅 歩10分・東京メトロ東西線/落合駅 歩15分,88000,83000,83000,2階,2K,https://suumo.jp/chintai/jnc_000071770053/?bc=100269123942
フラット東中野,ＪＲ中央線/東中野駅 歩5分・東京メトロ丸ノ内線/中野坂上駅 歩10分・東京メトロ東西線/落合駅 歩15分,88000,83000,83000,2階,2K,https://suumo.jp/chintai/jnc_000071770052/?bc=100269123728
サンハイツ,ＪＲ中央線/東中野駅 歩5分・都営大江戸線/東中野駅 歩5分,105000,103000,103000,2階,2DK,https://suumo.jp/chintai/jnc_000071832565/?bc=100124360465
スターハイツ東中野,ＪＲ総武線/東中野駅 歩5分・東京メトロ東西線/落合駅 歩3分・都営大江戸線/中井駅 歩11分,95000,180000,90000,4階,2DK,https://suumo.jp/chintai/jnc_000071795207/?bc=100269231055
ベルクレール新宿,ＪＲ山手線/新宿駅 歩12分・ＪＲ中央線/大久保駅 歩5分・東京メトロ丸ノ内線/西新宿駅 歩8分,109000,104000,104000,2階,2K,https://suumo.jp/chintai/jnc_000067761619/?bc=100257490912
ＪＲ総武線 東中野駅 3階建 新築,ＪＲ総武線/東中野駅 歩5分・東京メトロ東西線/落合駅 歩5分・都営大江戸線/中井駅 歩11分,108000,103000,103000,1階,2K,https://suumo.jp/chintai/jnc_000071169664/?bc=100269394183
ワッセナーTM,ＪＲ中央線/東中野駅 歩6分・東京メトロ丸ノ内線/中野坂上駅 歩10分・ＪＲ山手線/新大久保駅 歩17分,100000,100000,100000,2階,2K,https://suumo.jp/chintai/jnc_000071474515/?bc=100259650110
トリオ文園,ＪＲ中央線/東中野駅 歩8分・東京メトロ東西線/落合駅 歩8分・ＪＲ中央線/中野駅 歩15分,95000,90000,90000,2階,2K,https://suumo.jp/chintai/jnc_000017496934/?bc=100268755209
ハヤカワ2,ＪＲ中央線/東中野駅 歩10分・都営大江戸線/中野坂上駅 歩10分・東京メトロ丸ノ内線/西新宿駅 歩16分,82000,82000,0,2階,2K,https://suumo.jp/chintai/jnc_000069569871/?bc=100268361156
土門ハイツ,ＪＲ総武線/東中野駅 歩10分・東京メトロ東西線/落合駅 歩10分,80000,80000,80000,2階,2K,https://suumo.jp/chintai/jnc_000071589329/?bc=100251492546
